id,country,country_id,continent,site_id,site_name,latitude,longitude,rural_urban,month_start,year_start,month_end,year_end,lower_age,upper_age,examined,pf_pos,pf_pr,method,rdt_type,pcr_type,dhs_id,source_id1,source_id2,source_id3,date,survey_type
1072427,Tanzania,TZA,Africa,1072425,TZ201700000328,-4.406243,35.464848,RURAL,10,2017,10,2017,0.8,4,14,0,0,RDT,Unknown,NA,TZ201700000328,1000095291,5680,NA,2017-10-01,MIS
1071047,Tanzania,TZA,Africa,1071045,TZ201700000098,-9.41511,39.437152,RURAL,10,2017,10,2017,0.8,4,14,1,0.0714285714285714,RDT,Unknown,NA,TZ201700000098,1000095291,5680,NA,2017-10-01,MIS
1070573,Tanzania,TZA,Africa,1070571,TZ201700000019,-3.353313,36.717941,RURAL,10,2017,10,2017,0.8,4,9,0,0,RDT,Unknown,NA,TZ201700000019,1000095291,5680,NA,2017-10-01,MIS
1071749,Tanzania,TZA,Africa,1071747,TZ201700000215,-4.436755,32.435447,RURAL,10,2017,10,2017,0.8,4,14,2,0.142857142857143,RDT,Unknown,NA,TZ201700000215,1000095291,5680,NA,2017-10-01,MIS
1072415,Tanzania,TZA,Africa,1072413,TZ201700000326,-4.347929,35.669661,RURAL,10,2017,10,2017,0.8,4,19,0,0,RDT,Unknown,NA,TZ201700000326,1000095291,5680,NA,2017-10-01,MIS
1071971,Tanzania,TZA,Africa,1071969,TZ201700000252,-3.292257,32.89571,RURAL,10,2017,10,2017,0.8,4,14,1,0.0714285714285714,RDT,Unknown,NA,TZ201700000252,1000095291,5680,NA,2017-10-01,MIS
1072109,Tanzania,TZA,Africa,1072107,TZ201700000275,-2.653678,31.27049,RURAL,10,2017,10,2017,0.8,4,21,17,0.80952380952381,RDT,Unknown,NA,TZ201700000275,1000095291,5680,NA,2017-10-01,MIS
1071887,Tanzania,TZA,Africa,1071885,TZ201700000238,-5.196017,29.843251,RURAL,10,2017,10,2017,0.8,4,14,0,0,RDT,Unknown,NA,TZ201700000238,1000095291,5680,NA,2017-10-01,MIS
1071983,Tanzania,TZA,Africa,1071981,TZ201700000254,-3.28384,32.817716,RURAL,10,2017,10,2017,0.8,4,22,4,0.181818181818182,RDT,Unknown,NA,TZ201700000254,1000095291,5680,NA,2017-10-01,MIS
1072277,Tanzania,TZA,Africa,1072275,TZ201700000303,-2.407788,32.965488,URBAN,10,2017,10,2017,0.8,4,10,1,0.1,RDT,Unknown,NA,TZ201700000303,1000095291,5680,NA,2017-10-01,MIS
1072097,Tanzania,TZA,Africa,1072095,TZ201700000273,-1.976145,31.495357,RURAL,10,2017,10,2017,0.8,4,14,2,0.142857142857143,RDT,Unknown,NA,TZ201700000273,1000095291,5680,NA,2017-10-01,MIS
1072787,Tanzania,TZA,Africa,1072785,TZ201700000388,-2.614178,32.255429,RURAL,10,2017,10,2017,0.8,4,27,9,0.333333333333333,RDT,Unknown,NA,TZ201700000388,1000095291,5680,NA,2017-10-01,MIS
1070639,Tanzania,TZA,Africa,1070637,TZ201700000030,-3.19224,37.111754,RURAL,10,2017,10,2017,0.8,4,11,0,0,RDT,Unknown,NA,TZ201700000030,1000095291,5680,NA,2017-10-01,MIS
1070525,Tanzania,TZA,Africa,1070523,TZ201700000011,-3.260085,36.390851,RURAL,10,2017,10,2017,0.8,4,13,0,0,RDT,Unknown,NA,TZ201700000011,1000095291,5680,NA,2017-10-01,MIS
1071365,Tanzania,TZA,Africa,1071363,TZ201700000151,-10.659608,35.665892,URBAN,10,2017,10,2017,0.8,4,7,0,0,RDT,Unknown,NA,TZ201700000151,1000095291,5680,NA,2017-10-01,MIS
1072775,Tanzania,TZA,Africa,1072773,TZ201700000386,-2.772678,32.125568,RURAL,10,2017,10,2017,0.8,4,23,2,0.0869565217391304,RDT,Unknown,NA,TZ201700000386,1000095291,5680,NA,2017-10-01,MIS
1070609,Tanzania,TZA,Africa,1070607,TZ201700000025,-3.256674,37.345585,RURAL,10,2017,10,2017,0.8,4,5,0,0,RDT,Unknown,NA,TZ201700000025,1000095291,5680,NA,2017-10-01,MIS
1071299,Tanzania,TZA,Africa,1071297,TZ201700000140,-10.971135,35.472506,RURAL,10,2017,10,2017,0.8,4,13,4,0.307692307692308,RDT,Unknown,NA,TZ201700000140,1000095291,5680,NA,2017-10-01,MIS
1071695,Tanzania,TZA,Africa,1071693,TZ201700000206,-4.296842,32.517606,RURAL,10,2017,10,2017,0.8,4,23,3,0.130434782608696,RDT,Unknown,NA,TZ201700000206,1000095291,5680,NA,2017-10-01,MIS
1071797,Tanzania,TZA,Africa,1071795,TZ201700000223,-7.494104,30.594707,RURAL,10,2017,10,2017,0.8,4,25,6,0.24,RDT,Unknown,NA,TZ201700000223,1000095291,5680,NA,2017-10-01,MIS
1072613,Tanzania,TZA,Africa,1072611,TZ201700000359,-6.659144,31.999518,RURAL,10,2017,10,2017,0.8,4,16,0,0,RDT,Unknown,NA,TZ201700000359,1000095291,5680,NA,2017-10-01,MIS
